"Qualifying Name","Name of Area","FIPS","Nation","State","County","County Subdivision","Census Tract","Block Group","Place","Congressional District (116th)","State Legislative District (Upper Chamber)","State Legislative District (Lower Chamber)","Metropolitan Statistical Area/Micropolitan Statistical Area","Combined Statistical Area","2020 Total Population","2010 Total Population","Population Change","Percent Change Population","2020 Total Population","2020 Population Density","2010 Total Population","2010 Population Density","Total Population Change","Population Density Change","Total Population Change Percent","Population Density Change Percent","2020 Housing Units","2020 Occupied Units","2020 Vacant Units","2010 Housing Units","2010 Occupied Units","2010 Vacant Units","Housing Units Change","Occupied Units Change","Vacant Units Change","Housing Units Change Percent","Occupied Units Change Percent","Vacant Units Change Percent","Housing Units Change Percent Points","Occupied Units Change Percent Points","Vacant Units Change Percent Points","2020 Total Population","White 2020","African American or Black 2020","American Indian and Alaska Native 2020","Asian 2020","Native Hawaiian and Other Pacific Islander 2020","Other 2020","Two or More Races 2020","2010 Total Population","White 2010 ","African American or Black 2010 ","American Indian and Alaska Native 2010 ","Asian 2010 ","Native Hawaiian and Other Pacific Islander 2010 ","Other 2010 ","Two or More Races 2010 ","Population Change","White Change","African American or Black Change","American Indian and Alaska Native Change","Asian Change","Native Hawaiian and Other Pacific Islander Change","Other Change","Two or More Races Change","Population Change Percent","White Change Percent","African American or Black Change Percent","American Indian and Alaska Native Change Percent","Asian Change Percent","Native Hawaiian and Other Pacific Islander Change Percent","Other Change Percent","Two or More Races Change Percent","Total Population Change Percent Points","White Change Percent Points","African American or Black Change Percent Points","American Indian and Alaska Native Change Percent Points","Asian Change Percent Points","Native Hawaiian and Other Pacific Islander Change Percent Points","Other Change Percent Points","Two or More Races Change Percent Points","2020 Total Population","Non-Hispanic 2020","Hispanic 2020","2010 Total Population","Non-Hispanic 2010","Hispanic 2010","Population Change","Non-Hispanic Change","Hispanic Change","Population Change Percent","Non-Hispanic Change Percent","Hispanic Change Percent","Population Change Percent Points","Non-Hispanic Change Percent Points","Hispanic Change Percentage Points"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T001_001,SE_T002_001,SE_T011_001,SE_T012_001,SE_T003_000,SE_T003_001,SE_T004_000,SE_T004_001,SE_T013_001,SE_T013_002,SE_T014_001,SE_T014_002,SE_T015_000,SE_T015_001,SE_T015_002,SE_T016_000,SE_T016_001,SE_T016_002,SE_T017_000,SE_T017_001,SE_T017_002,SE_T018_000,SE_T018_001,SE_T018_002,SE_T019_000,SE_T019_001,SE_T019_002,SE_T005_000,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_000,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T025_000,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T026_000,SE_T026_002,SE_T026_003,SE_T026_004,SE_T026_005,SE_T026_006,SE_T026_007,SE_T026_008,SE_T027_000,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T027_008,SE_T020_000,SE_T020_001,SE_T020_002,SE_T021_000,SE_T021_001,SE_T021_002,SE_T022_000,SE_T022_001,SE_T022_002,SE_T023_000,SE_T023_001,SE_T023_002,SE_T024_000,SE_T024_001,SE_T024_002
"Autauga County, Alabama","Autauga County","01001","00","01","001",,,,,,,,,,58805,54571,4234,7.7586996756519,58805,98.9223582606555,54571,91.7998811774888,4234,7.1224770831667,7.7586996756519,7.75869967565195,24350,22412,1938,22135,20221,1914,2215,2191,24,10.0067765981477,10.8352702635874,1.25391849529781,-4.21884749357559E-15,0.688006998310253,-0.688006998310257,58805,42160,11445,217,881,35,910,3157,54571,42855,9643,232,474,32,466,869,4234,-695,1802,-15,407,3,444,2288,7.7586996756519,-1.62174775405437,18.6871305610287,-6.46551724137931,85.8649789029536,9.375,95.2789699570815,263.291139240506,-3.10862446895044E-15,-6.8361376515613,1.79207310649925,-0.0561179886872076,0.629578715308919,0.000879544432941736,0.693554050695455,3.77617022331194,58805,56688,2117,54571,53261,1310,4234,3427,807,7.7586996756519,6.43435158934305,61.6030534351145,7.54951656745106E-15,-1.19949159807662,1.19949159807663
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",,,,,,,,,,231767,182265,49502,27.1593558829177,231767,145.780443967561,182265,114.6438993461,49502,31.136544621461,27.1593558829177,27.1593558829175,124148,93116,31032,104061,73180,30881,20087,19936,151,19.3031010657211,27.242415960645,0.488973802661831,2.66453525910038E-15,4.67989064673239,-4.67989064673238,231767,189399,18217,1582,2067,143,5335,15024,182265,156153,17105,1216,1348,89,3631,2723,49502,33246,1112,366,719,54,1704,12301,27.1593558829177,21.2906572400146,6.50102309266296,30.0986842105263,53.3382789317507,60.6741573033708,46.9292206003856,451.74439955931,-1.77635683940025E-15,-3.95403529918087,-1.52463803033783,0.0154216227779279,0.152261487915997,0.0128698966048675,0.30972648733049,4.98839383488941,231767,219081,12686,182265,174273,7992,49502,44808,4694,27.1593558829177,25.711383863249,58.7337337337337,-1.99840144432528E-15,-1.08877634772734,1.08877634772734
"Barbour County, Alabama","Barbour County","01005","00","01","005",,,,,,,,,,25223,27457,-2234,-8.13635866992024,25223,28.5003067314037,27457,31.0245776443782,-2234,-2.5242709129745,-8.13635866992024,-8.13635866992023,11618,9677,1941,11829,9820,2009,-211,-143,-68,-1.7837517964325,-1.45621181262729,-3.38476854156297,-2.77555756156289E-15,0.276849943274837,-0.27684994327484,25223,11317,11933,116,117,1,1039,700,27457,13180,12875,114,107,29,894,258,-2234,-1863,-942,2,10,-28,145,442,-8.13635866992024,-14.1350531107739,-7.31650485436893,1.75438596491228,9.34579439252336,-96.551724137931,16.2192393736018,171.317829457364,-2.22044604925031E-15,-3.13455150975107,0.418491768434487,0.0447030443789759,0.0741620892709616,-0.101655060800552,0.863255943024568,1.83559372544263,25223,23713,1510,27457,26070,1387,-2234,-2357,123,-8.13635866992024,-9.04104334484081,8.86806056236482,-3.44169137633799E-15,-0.935064404518871,0.935064404518867
"Bibb County, Alabama","Bibb County","01007","00","01","007",,,,,,,,,,22293,22915,-622,-2.71437922758019,22293,35.8137988903938,22915,36.8130445239929,-622,-0.999245633599095,-2.71437922758019,-2.71437922758015,9002,7927,1075,8981,7953,1028,21,-26,47,0.233826968043648,-0.326920658870866,4.57198443579767,4.16333634234434E-15,-0.495403896561997,0.495403896562001,22293,16555,4413,60,32,9,465,759,22915,17381,5047,64,22,13,185,203,-622,-826,-634,-4,10,-4,280,556,-2.71437922758019,-4.75231574708014,-12.5619179710719,-6.25,45.4545454545455,-30.7692307692308,151.351351351351,273.891625615764,-1.77635683940025E-15,-1.5889012086946,-2.22942304931605,-0.0101502592488614,0.0475358338046366,-0.0163599816104364,1.27852510461142,2.5187735604539,22293,21553,740,22915,22509,406,-622,-956,334,-2.71437922758019,-4.24719001288374,82.2660098522168,6.21724893790088E-15,-1.547662403732,1.547662403732
"Blount County, Alabama","Blount County","01009","00","01","009",,,,,,,,,,59134,57322,1812,3.1610899829036,59134,91.6961633730729,57322,88.8863847680062,1812,2.8097786050667,3.1610899829036,3.16108998290371,24622,22367,2255,23887,21578,2309,735,789,-54,3.07698748273119,3.65650199277041,-2.33867475097445,0,0.507869551524098,-0.507869551524098,59134,50663,845,337,178,24,3431,3656,57322,53068,761,307,117,38,2347,684,1812,-2405,84,30,61,-14,1084,2972,3.1610899829036,-4.53192130850984,11.0381077529566,9.77198697068404,52.1367521367521,-36.8421052631579,46.1866212185769,434.502923976608,-6.21724893790088E-15,-6.90385773349897,0.101369948304028,0.0343211244841986,0.0969011477660953,-0.0257063858245736,1.70766262742458,4.98930927134464,59134,53363,5771,57322,52696,4626,1812,667,1145,3.1610899829036,1.26575072111735,24.7514051015997,2.66453525910038E-15,-1.68899106671437,1.68899106671438
"Bullock County, Alabama","Bullock County","01011","00","01","011",,,,,,,,,,10357,10914,-557,-5.10353674179952,10357,16.6293352233583,10914,17.5236617387016,-557,-0.894326515343298,-5.10353674179952,-5.10353674179951,4516,3928,588,4493,3745,748,23,183,-160,0.511907411529045,4.88651535380507,-21.3903743315508,-5.77315972805081E-15,3.62774728605485,-3.62774728605486,10357,2320,7396,72,9,10,302,248,10914,2507,7666,23,20,43,569,86,-557,-187,-270,49,-11,-33,-267,162,-5.10353674179952,-7.45911447945752,-3.52204539525176,213.04347826087,-55,-76.7441860465116,-46.9244288224956,188.372093023256,-1.22124532708767E-14,-0.570187640080005,1.17058150648209,0.4844435015025,-0.0963531201278372,-0.297436315545295,-2.29758497575708,1.60653704352561,10357,9854,503,10914,10137,777,-557,-283,-274,-5.10353674179952,-2.79175298411759,-35.2638352638353,8.43769498715119E-15,2.26267760467528,-2.26267760467527
"Butler County, Alabama","Butler County","01013","00","01","013",,,,,,,,,,19051,20947,-1896,-9.05141547715663,19051,24.5237569336555,20947,26.9644184814068,-1896,-2.4406615477513,-9.05141547715663,-9.05141547715649,9806,8170,1636,9964,8491,1473,-158,-321,163,-1.58570855078282,-3.7804734424685,11.0658520027155,5.55111512312578E-15,-1.90044347290466,1.90044347290466,19051,9752,8430,29,143,5,105,587,20947,11399,9095,60,177,7,48,161,-1896,-1647,-665,-31,-34,-2,57,426,-9.05141547715663,-14.4486358452496,-7.31170973062122,-51.6666666666667,-19.2090395480226,-28.5714285714286,118.75,264.596273291925,-3.99680288865056E-15,-3.22937982131603,0.830540326740831,-0.134214218223222,-0.0943729704762625,-0.00717233172326406,0.32200241157438,2.31259660342356,19051,18791,260,20947,20756,191,-1896,-1965,69,-9.05141547715663,-9.46714203121989,36.1256544502618,-5.71764857681956E-15,-0.45293267314771,0.452932673147704
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",,,,,,,,,,116441,118572,-2131,-1.79722025436022,116441,192.181957641371,118572,195.6991015317,-2131,-3.51714389032898,-1.79722025436022,-1.79722025436037,53052,46437,6615,53289,47331,5958,-237,-894,657,-0.44474469402691,-1.88882550548266,11.0271903323263,9.76996261670138E-15,-1.28835461221088,1.28835461221089,116441,80586,25559,487,1190,119,2471,6029,118572,88840,24382,540,845,96,1894,1975,-2131,-8254,1177,-53,345,23,577,4054,-1.79722025436022,-9.29085997298514,4.82733163809368,-9.81481481481481,40.8284023668639,23.9583333333333,30.4646251319958,205.26582278481,6.21724893790088E-15,-5.717358598798,1.38713875904373,-0.0371819295836131,0.309329627149667,0.0212342142752001,0.524763057357445,3.51207487055557,116441,111431,5010,118572,114679,3893,-2131,-3248,1117,-1.79722025436022,-2.83225350761691,28.6925250449525,6.66133814775094E-16,-1.01937099861925,1.01937099861925
"Chambers County, Alabama","Chambers County","01017","00","01","017",,,,,,,,,,34772,34215,557,1.62794096156656,34772,58.2874260673406,34215,57.3537410242166,557,0.933685043124001,1.62794096156656,1.62794096156652,16373,14238,2135,17004,13933,3071,-631,305,-936,-3.71089155492825,2.18904758487045,-30.4786714425269,0,5.0206957817636,-5.0206957817636,34772,18850,13512,106,401,13,680,1210,34215,20112,13257,69,168,10,214,385,557,-1262,255,37,233,3,466,825,1.62794096156656,-6.27486077963405,1.9235121068115,53.6231884057971,138.690476190476,30,217.757009345794,214.285714285714,-4.44089209850063E-16,-4.5709521632068,0.112687986670656,0.103177041115032,0.662214020431865,0.0081594556075099,1.33013978586865,2.35457387351308,34772,33535,1237,34215,33679,536,557,-144,701,1.62794096156656,-0.427566139137148,130.783582089552,-3.77475828372553E-15,-1.99089565295641,1.99089565295641
