"Qualifying Name","Name of Area","FIPS","Nation","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Percent of Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental Health Providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent of Persons Without Insurance (Population Under 19 Years, 2013 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2013 est.)","Persons Without Insurance (Population Under 19 Years, 2013 est.)","Persons Without Insurance (Population Under 65 Years, 2013 est.)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 100,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Infant Mortality (Death Counts)","Infant Mortality Rate per 1,000 Live Births","Percent Diabetics (Adults)","Diabetics","Chlamydia Cases (Count)","HIV Prevalence (Count)","Chlamydia Cases Rate per 100,000 Population","HIV Prevalence Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Percent of Persons with Limited Access to Healthy Foods","Percent of Persons with Access to Exercise Opportunities","Percent Obese Persons (20 Years and Over)","Percent Percent Physically Inactive Persons (20 Years and Over)","Percent of Children Eligible for Free Lunch (Persons < 18 Years)","Food Environment Index","Air Pollution Particulate Matter Average Daily Pm2.5","Presence of Drinking Water Violations","Percentage of Households with Severe Housing Problems","Percentage of Households with High Housing Costs","Percentage of Households with Overcrowding","Percentage of Households with Lack of Kitchen or Plumbing Facilities","Percent of Driving Alone to Work","Long Commute Driving Alone Workers Who Drive Alone","Percent of Long Commute Driving Alone Workers Who Drive Alone"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_T002_001,SE_T003_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_T006_001,SE_T006_003,SE_NV005_001,SE_NV005_003,SE_T008_002,SE_T008_003,SE_T008_004,SE_NV006_002,SE_NV006_003,SE_NV006_004,SE_T014_001,SE_NV009_001,SE_T009_001,SE_NV007_001,SE_T010_002,SE_T010_003,SE_NV008_002,SE_NV008_003,SE_T011_001,SE_T011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T013_001,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009
"Autauga County, Alabama","Autauga County","01001","00","01","001",3.4322111963,4.7973512632,16.9,9.7381519152,25,21,19,44.52756,35.536,32.15162,3.8432780021,13.158831909,514,4434,27,836,14,51.496252217,427.07332591,8.3524744205,30,6.8775790922,10.6,"",315,114,563.8,242.5,18.3,16.656260168,13.020997971,55.537794405,37.3,26.4,41.250697934,6.6,10,"No",14.442626782,12.635805385,1.12175742,1.6358962374,86.401088518,26458,41.6
"Baldwin County, Alabama","Baldwin County","01003","00","01","003",3.2761769521,4.7537497106,14.9,8.3857311835,150,250,114,65.42019,104.47399,47.64014,3.7613514692,13.608835329,1897,17707,97,3377,118,51.169783452,381.70203137,17.5976783,84,5.2730696798,9.7,"",786,344,352.1,176.1,16.9,18.965166014,7.936779358,65.735846777,32.6,23.2,46.373985785,7.5,7.6,"Yes",12.238971951,10.561056106,1.2912393426,0.642530582,81.40185095,102650,37.6
"Barbour County, Alabama","Barbour County","01005","00","01","005",4.6054318631,4.9548545646,27.5,11.914672216,8,6,8,32.53487,24.03461,32.04615,3.7324087293,18.658064516,183,2169,17,539,,82.704937971,589.56609455,,,,15.6,"",155,96,627.9,456.5,25.9,13.428772645,10.433171672,54.842802204,46.4,35.7,58.692902319,5.8,9.4,"Yes",16.21187801,13.464345873,3.8523274478,0.5885500268,83.122562345,8461,36.5
"Bibb County, Alabama","Bibb County","01007","00","01","007",4.0121820779,5.364779234,21.6,10.033076075,14,9,6,63.24539,40.04093,26.69395,3.8878842676,16.258183649,172,1937,15,460,16,82.232333754,567.50814595,23.905572987,,,12.2,"",123,41,549.3,215.9,22.8,15.916283885,0.4458662133,18.211994797,38.4,31.6,48.219441771,7.4,9.8,"No",11.320754717,7.9853479853,1.1611030479,2.2496371553,86.965223918,7994,55.1
"Blount County, Alabama","Blount County","01009","00","01","009",3.8660480758,5.377579831,18.4,7.8598889364,12,12,10,20.73291,20.32486,16.93738,4.466062348,16.737313433,606,5607,38,1143,31,71.173044146,532.83648174,17.862802155,31,6.7215958369,10.9,"",168,37,290.5,76.2,21.8,16.310688072,2.5122060181,41.353536037,32.7,28.5,50.816104461,7.8,9.6,"No",9.8824658191,7.3806006893,1.7989925642,1.2712880787,86.420269253,23918,59.5
"Bullock County, Alabama","Bullock County","01011","00","01","011",4.6975575527,5.1402063643,29.7,15.062287656,3,2,2,30.07217,19.37984,19.37984,2.8542303772,16.389762012,56,730,,203,,,556.11029653,,,,18.1,"",79,54,782.1,638.3,25.5,12.772702652,32.339190387,2.78072801,48.3,39.6,76.290097629,4.3,9.3,"No",12.926136364,12.785388128,0,0.9943181818,83.865814696,3756,49.4
"Butler County, Alabama","Butler County","01013","00","01","013",4.1852847641,5.217472194,22.7,12.82853567,4,16,7,20.50861,84.72781,37.06842,3.7423022264,17.175109618,158,1841,14,441,,80.178683924,606.51274825,,,,13.8,"",154,56,791.9,340.4,22.3,13.747720702,6.9182869438,45.005511522,45.4,32.3,78.540047313,6.8,9.1,"No",11.683320523,9.4514106583,1.5372790161,1.1529592621,86.591730229,7473,34.7
"Calhoun County, Alabama","Calhoun County","01015","00","01","015",3.8225684765,4.8968874674,19.6,9.4372108038,68,173,76,59.92826,149.17394,65.53306,3.1747977445,16.461833525,777,10729,57,2476,66,57.897409853,587.11909177,19.334936766,71,7.9311885612,12.3,"",511,245,449.8,254.5,21,16.188242557,15.398072995,64.796764026,37.4,28.1,56.719844587,6,9.7,"No",11.893285506,9.8384895359,1.6814258491,0.7734558906,84.928259256,48508,30
"Chambers County, Alabama","Chambers County","01017","00","01","017",4.0730385287,5.5068837107,21.5,12.653061224,14,3,7,42.59851,8.68533,20.26577,3.9728096677,16.33997344,263,3076,24,686,10,86.399308806,530.58104964,10.026670945,24,9.0634441088,13.2,"",160,110,481.1,392.6,21.7,15.074983183,8.1029884513,49.930978949,41.2,32.2,71.737132353,6.9,9.8,"No",16.505576208,10.871872631,5.2788104089,1.5241635688,86.978711974,14891,28.1
