"Qualifying Name","Name of Area","FIPS","Nation","Metropolitan Statistical Area","County/County Subdivision","Total Population 2017","Median Family Income (5-year ACS)","Low Income Limits (Up to 80% of Local Area Median Income) for One Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Two Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Three Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Four Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Five Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Six Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Seven Person Families","Low Income Limits (Up to 80% of Local Area Median Income) for Eight Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for One Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Two Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Three Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Four Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Five Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Six Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Seven Person Families","Very Low Income Limits (Up to 50% of Local Area Median Income) for Eight Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for One Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Two Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Three Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Four Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Five Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Six Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Seven Person Families","Extremely Low Income Limits (Up to 30% of Local Area Median Income) for Eight Person Families","Fair Market Rent for Efficiency","Fair Market Rent for One Bedroom","Fair Market Rent for Two Bedrooms","Fair Market Rent for Three Bedrooms","Fair Market Rent for Four Bedrooms","FY 2020 Fair Market Rent (Two-Bedrooms)","FY 2019 Fair Market Rent (Two-Bedrooms)","Fair Market Rent (Two-Bedrooms) Percent Change between 2019 and 2020","Fair Market Rent (Two-Bedrooms) Dollar Change between 2019 and 2020"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_MSA,Geo_CCS,SE_T001_001,SE_T002_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T003_004,SE_T003_005,SE_T003_006,SE_T003_007,SE_T003_008,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T005_007,SE_T005_008,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002
"Autauga County, Alabama","Autauga County","0100199999","00",,"00199999",55035,65700,36800,42050,47300,52550,56800,61000,65200,69400,23000,26300,29600,32850,35500,38150,40750,43400,13800,17240,21720,26200,30680,35160,39640,43400,583,702,830,1047,1425,830,825,0.606061,5
"Baldwin County, Alabama","Baldwin County","0100399999","00",,"00399999",203360,81000,45400,51850,58350,64800,70000,75200,80400,85550,28350,32400,36450,40500,43750,47000,50250,53500,17050,19450,21900,26200,30680,35160,39640,44120,744,749,916,1251,1566,916,888,3.15315,28
"Barbour County, Alabama","Barbour County","0100599999","00",,"00599999",26200,43800,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,477,481,633,789,925,633,666,-4.955,-33
"Bibb County, Alabama","Bibb County","0100799999","00",,"00799999",22580,73100,40950,46800,52650,58500,63200,67900,72550,77250,25600,29250,32900,36550,39500,42400,45350,48250,15400,17600,21720,26200,30680,35160,39640,44120,804,861,986,1291,1425,986,873,12.9438717,113
"Blount County, Alabama","Blount County","0100999999","00",,"00999999",57665,73100,40950,46800,52650,58500,63200,67900,72550,77250,25600,29250,32900,36550,39500,42400,45350,48250,15400,17600,21720,26200,30680,35160,39640,44120,804,861,986,1291,1425,986,873,12.9438717,113
"Bullock County, Alabama","Bullock County","0101199999","00",,"01199999",10480,42900,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,484,612,809,878,612,628,-2.5478,-16
"Butler County, Alabama","Butler County","0101399999","00",,"01399999",20125,45800,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,521,612,782,993,612,628,-2.5478,-16
"Calhoun County, Alabama","Calhoun County","0101599999","00",,"01599999",115525,61500,33950,38800,43650,48500,52400,56300,60150,64050,21250,24250,27300,30300,32750,35150,37600,40000,12760,17240,21720,26200,30680,35150,37600,40000,468,531,700,910,1072,700,676,3.5503,24
"Chambers County, Alabama","Chambers County","0101799999","00",,"01799999",33895,51900,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,486,593,683,887,977,683,691,-1.1577,-8
"Cherokee County, Alabama","Cherokee County","0101999999","00",,"01999999",25855,53400,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,462,465,612,826,829,612,628,-2.5478,-16
"Chilton County, Alabama","Chilton County","0102199999","00",,"02199999",43805,56100,31450,35950,40450,44900,48500,52100,55700,59300,19650,22450,25250,28050,30300,32550,34800,37050,12760,17240,21720,26200,30300,32550,34800,37050,594,627,714,1030,1122,714,628,13.6942675,86
"Choctaw County, Alabama","Choctaw County","0102399999","00",,"02399999",13190,48500,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,466,469,618,770,844,618,663,-6.7873303,-45
"Clarke County, Alabama","Clarke County","0102599999","00",,"02599999",24625,53700,30100,34400,38700,42950,46400,49850,53300,56700,18800,21500,24200,26850,29000,31150,33300,35450,12760,17240,21720,26200,29000,31150,33300,35450,474,507,612,883,980,612,628,-2.5478,-16
"Clay County, Alabama","Clay County","0102799999","00",,"02799999",13405,50100,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,482,538,612,882,1075,612,628,-2.5478,-16
"Cleburne County, Alabama","Cleburne County","0102999999","00",,"02999999",14940,54100,30350,34650,39000,43300,46800,50250,53700,57200,18950,21650,24350,27050,29250,31400,33550,35750,12760,17240,21720,26200,29250,31400,33550,35750,462,465,612,863,1075,612,628,-2.5478,-16
"Coffee County, Alabama","Coffee County","0103199999","00",,"03199999",51075,66900,37450,42800,48150,53500,57800,62100,66350,70650,23450,26800,30150,33450,36150,38850,41500,44200,14050,17240,21720,26200,30680,35160,39640,44120,515,541,665,959,1168,665,680,-2.2059,-15
"Colbert County, Alabama","Colbert County","0103399999","00",,"03399999",54435,64200,35950,41100,46250,51350,55500,59600,63700,67800,22500,25700,28900,32100,34700,37250,39850,42400,13500,17240,21720,26200,30680,35160,39640,42400,498,565,714,913,1191,714,675,5.77778,39
"Conecuh County, Alabama","Conecuh County","0103599999","00",,"03599999",12650,40000,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,510,612,874,878,612,628,-2.5478,-16
"Coosa County, Alabama","Coosa County","0103799999","00",,"03799999",10955,49100,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,499,503,662,825,949,662,676,-2.071,-14
"Covington County, Alabama","Covington County","0103999999","00",,"03999999",37520,54800,30700,35100,39500,43850,47400,50900,54400,57900,19200,21950,24700,27400,29600,31800,34000,36200,12760,17240,21720,26200,29600,31800,34000,36200,474,489,612,818,1019,612,628,-2.5478,-16
"Crenshaw County, Alabama","Crenshaw County","0104199999","00",,"04199999",13865,55600,31150,35600,40050,44500,48100,51650,55200,58750,19500,22250,25050,27800,30050,32250,34500,36700,12760,17240,21720,26200,30050,32250,34500,36700,462,465,612,763,904,612,628,-2.5478,-16
"Cullman County, Alabama","Cullman County","0104399999","00",,"04399999",81705,59700,32100,36700,41300,45850,49550,53200,56900,60550,20100,22950,25800,28650,30950,33250,35550,37850,12760,17240,21720,26200,30680,33250,35550,37850,469,525,645,871,874,645,662,-2.568,-17
"Dale County, Alabama","Dale County","0104599999","00",,"04599999",49395,57500,32200,36800,41400,46000,49700,53400,57050,60750,20150,23000,25900,28750,31050,33350,35650,37950,12760,17240,21720,26200,30680,33350,35650,37950,498,501,612,829,1075,612,629,-2.7027,-17
"Dallas County, Alabama","Dallas County","0104799999","00",,"04799999",40755,40600,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,489,503,618,783,837,618,628,-1.5924,-10
"DeKalb County, Alabama","DeKalb County","0104999999","00",,"04999999",71195,51000,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,462,465,612,818,884,612,646,-5.2632,-34
"Elmore County, Alabama","Elmore County","0105199999","00",,"05199999",80990,65700,36800,42050,47300,52550,56800,61000,65200,69400,23000,26300,29600,32850,35500,38150,40750,43400,13800,17240,21720,26200,30680,35160,39640,43400,583,702,830,1047,1425,830,825,0.606061,5
"Escambia County, Alabama","Escambia County","0105399999","00",,"05399999",37620,47400,30050,34350,38650,42900,46350,49800,53200,56650,18800,21450,24150,26800,28950,31100,33250,35400,12760,17240,21720,26200,28950,31100,33250,35400,474,538,612,815,903,612,628,-2.5478,-16
"Etowah County, Alabama","Etowah County","0105599999","00",,"05599999",103130,65000,34550,39450,44400,49300,53250,57200,61150,65100,21600,24650,27750,30800,33300,35750,38200,40700,12950,17240,21720,26200,30680,35160,38200,40700,523,527,693,877,985,693,662,4.68278,31
